Date	Clock	School	Level	Group	#Students	Gene_ID	Chr_number	Plant_part_highlight	Plan_highlight_analysis	Mean_and_Median	Tau_index	Specific_to	Hypothesis	Hypothesis_analysis	Enjoy_tobe_Detective	Ever_heard_of_GE	Learned	Like	Improvement
21/10/24	14:02:54	VRB	3	24	3	Glyma.04G116500	4	Seedling	Inaccurate	median: 237.11288 Mean: 215.13274	154	No.	Provide color.	Inaccurate	Yes	No	How soybean DNA works.	The interaction as a detective.	It's perfect.
21/10/24	14:08:25	VRB	2	25	3	Glyma.15G260900	15	Root	Inaccurate	Mean: 221.51 median: 2.24	High. Value: 0,999	Nodule	The nodule contains bacteria that assist in capturing nitrogen from the air.	Accurate	Yes	No	How the DNA of a soybean seed actually works, with a wonderful atlas.	The atlas and its information.	No.
21/10/24	14:10:56	VRB	2	26	3	Glyma.06G290100	6	It is expressed throughout the entire leaf	Inaccurate	173093475,33187454288,197758090,21415186184	low,0.716	It is not specific.	This gene is responsible for developing cell functions.	Inaccurate	Yes	Yes	Things about genes.	The game.	No.
21/10/24	14:12:58	VRB	2	27	3	Glyma.02G121500	2	Flower	Accurate	61.03	High, 0.882	seed, seed coat, pod and flower.	It is a regulatory MADS-box protein related to AGL3.	Accurate	Yes	Yes	We learned about genes and chromosome (Chr) numbers.	Everything.  	Study more
21/10/24	14:14:49	VRB	3	28	3	Glyma.15G049200	15	Seed coat and seed	Accurate	Median:212.18, mean: 2.83	high, 0,974	Seed coat.	Sugar transporter	Accurate	Yes	Yes	I learned about plants.	Everything.  	No.
22/10/24	10:16:25	NP	3	29	3	Glyma.06G290100	6	Leaves and root	Inaccurate	Mean 36.03, median 22.98	High, 0,716	It is not specific	It stores nutrients within the plant, helping to regulate genes, maintaining the plant's health and balance.	Accurate	Yes	No	We discovered that soybeans are much more interesting than we imagined.	Investigating the gene and discovering its function.	The website translation would be nice.
22/10/24	10:17:12	NP	3	30	4	Glyma.13G347500	13	Cotyledon, embryo and seed	Accurate	Mean= 1,48 TPM, median= 36,11 TPM	High, the value is 0,859	Cotyledon, embryo and seed 	The production of biofuel.         	Inaccurate	Yes	No	About soybeans and what is inside them.         	Discovering about soybean and its function and characteristics.  	No
22/10/24	10:17:48	NP	3	31	3	Glyma.20G146200	20	Seed	Accurate	Mean 3761 and median 1.8418	0,907	Cotyledon and seed	Growing 	Accurate	Yes	No	Functions and genes of the seed.	Research	No 
22/10/24	10:18:55	NP	3	32	5	Glyma.07G186300	7	Flower	Accurate	18.26	High,1	Yes, flower	.	Inaccurate	Yes	No	About soybean production.	Everything.  	None
22/10/24	10:21:50	NP	3	33	2	Glyma.04G116500	4	Epicotyl	Inaccurate	Seedling	low, 0,154	Yes, in all parts.	It serves as a protein for ankyrin repeat in the soybean gene.         	Accurate	Yes	No	Good and relaxed.	The dynamic.	No
22/10/24	10:22:32	NP	3	34	2	Glyma.01G063500	1	Brown	Inaccurate	6.52 2.011	High, 1	Genes	I don't know.	Inaccurate	Yes	No	Nothing 	Nothing. 	No 
22/10/24	10:22:57	NP	3	35	2	Glyma.01G079550	1	Seed coat	Accurate	Mean;Seed coat=18 median;Suspensor=14	0,88	Seed coat, suspensor, endosperm	Since it is the seed coat, I believe its function is protection.	Accurate	Yes	No	That plants also have their own DNA and that not only soybeans but all plants have different characteristics and functions.	Discovering the numbers and the answers that were right in front of me, but I didn’t know how to respond at first. With help, I managed	Everything that was presented, I liked, and since everything is new to me, I have no suggestions.
22/10/24	10:28:42	NP	3	36	4	Glyma.08G183500	8	Seed, embryo, seed coat	Accurate	Seed coat median 1517,32; Mean 1,53  Seed median 102,91; Mean 3,11 Embryo Mean 9,71	It has no value.         	No	It is expressed in the seed parts, embryo, and seed coat, and it transports sugar.	Accurate	Yes	Yes	I learned more about DNA and soybeans.	The way of reproduction of soybean.	No
22/10/24	11:49:54	NP	3	37	3	Glyma.20G148400	20	Seed,embryo,cotyledon	Accurate	seed 60, embryo 40, cotyledon 20/40	0.845, it is high but expressed in multiple parts.         	Seed specific	It would be Yesilar to human reproduction; it serves for the plant to reproduce.	Inaccurate	Yes	No	I learned that a plant has more genes than I do. -_-	We liked the explanation and the good assistance provided.	No, I don't think it needs any improvement, everything is fine.
22/10/24	11:50:50	NP	3	38	4	Glyma.01G063500	1	Flower	Accurate	Mean 6, median 2	High 1	Flower	It is hermaphroditic and serves to produce soybeans.	Inaccurate	Yes	Yes	That DNA is very important for identifying the characteristics of things.	Acquiring knowledge about soybean DNA.	No, I found it very fun and educational.
22/10/24	11:51:03	NP	3	39	4	Glyma.02G069200	2	In the leaf	Accurate	Mean: 13,6 e median: 9,7	1	Leaf	It is responsible for carrying out photosynthesis, enabling the plant to produce its own food.         	Accurate	Yes	Yes	We learned about soybean DNA.	Touching the soybean.	It's great.
22/10/24	11:52:41	NP	3	40	3	Glyma.07G268100	7	Cotyledon	Inaccurate	Suspensor: median 255.15, Mean 2.267.	0,849 (high). It is expressed in many parts of the plant.         	No, because it is expressed in many parts of the plant.	It stores nutrients.	Inaccurate	Yes	No	We learned about soybean DNA and its germination.	Everything related to the activity.	No, it's perfect.
22/10/24	11:57:37	NP	3	41	4	Glyma.12G205700	205700	Cotyledon	Inaccurate	1922420960	0.691 low	It is spread throughout the plant.	It is involved in regulatory processes.	Accurate	Yes	No	We learned to pay more attention to what we consume.	The investigative part.	No
22/10/24	11:58:12	NP	3	42	3	Glyma.15G260900	15	Nodule	Accurate	Median : 221.5; media : 2.24	0.999 low	Yes, the soybean root has nodules.	Nodules contain bacteria that help absorb nitrogen.	Accurate	Yes	Yes	A lot of things.	Everything	No
22/10/24	11:59:27	NP	3	43	2	Glyma.02G121500	2	Flower	Accurate	median 61.03 Media 58.43	0.882, high	Seed coat, pod and flower 	Regulation in the seed coat, pod, and flower.	Accurate	No	Yes	Everything and a little more.	Being a detective.	No
22/10/24	12:03:49	NP	3	44	2	Glyma.16G043200	0,627	Pod, seedling and nodule	Accurate	969549670	0,627	No	Involved in drought resistance.	Accurate	Yes	Yes	About reproduction.	The participation of the students.	No

